ID_FACTURA,N_PLATO,NUM_PEDIDOS,ID_RESTAURANTE
C2240421,Jamón Ibérico,2,LH001GA
C2240421,Pulpo braseado,1,LH001GA
C2240421,Tarta queso,2,LH001GA
P0090515,Entrante manchego,1,LC001CM
P0090515,Carne de la mancha,2,LC001CM
P0090515,Postre tradicional,1,LC001CM
J1011121,Entrante navarro,3,BR002NA
J1011121,Txuletón,2,BR002NA
J1011121,Tarta casera,1,BR002NA
T1110316,Ensalada de naranja,1,AA002AN
T1110316,Solomillo ibérico,2,AA002AN
T1110316,Copa de vino,2,AA002AN
N6190521,Jamón Ibérico,1,EO001AR
N6190521,Taco aragonés,2,EO001AR
N6190521,Trucha a la navarra,2,EO001AR
N6190521,Bizcocho,1,EO001AR
T3181222,Jamón Ibérico,1,PB001EX
T3181222,Tartar atún,2,PB001EX
T3181222,Arroz trufa,1,PB001EX
S9230817,Jamón Ibérico,2,MS001AS
S9230817,Croqueta jamón,3,MS001AS
S9230817,Merluza Cantábrico,2,MS001AS
P7251219,Ensalada templada,2,LR003VC
P7251219,Merluza al horno,1,LR003VC
L4250324,Jamón Ibérico,1,VA001IB
L4250324,Arroz marinero,2,VA001IB
L4250324,Lubina playa,2,VA001IB
L4250324,Postre ibicenco,1,VA001IB
B1200916,Jamón Ibérico,1,AP001AN
B1200916,Arroz de marisco,3,AP001AN
B1200916,Helado marino,2,AP001AN
D2050415,Ensalada de mar,2,GL002AS
D2050415,Bocadillo gourmet,1,GL002AS
D2050415,Asado tradicional,3,GL002AS
C4020315,Entrante casa,1,BL003CB
C4020315,Bacalao dorado,2,BL003CB
M9100622,Ensalada rústica,1,LV002CL
M9100622,Tosta de anchoa,2,LV002CL
M9100622,Jarrete horno,2,LV002CL
M9100622,Tarta manzana,1,LV002CL
M9090917,Entrante contemporáneo,2,JO003IB
M9090917,Ravioli mar,1,JO003IB
M9090917,Solomillo,2,JO003IB
Z4270815,Ensalada de autor,1,MN003CT
Z4270815,Arroz negro,2,MN003CT
Z4270815,Mousse chocolate,2,MN003CT
R6140121,Ensalada rústica,2,LV002CL
R6140121,Jarrete horno,1,LV002CL
R6140121,Copa vino,3,LV002CL
L9220216,Jamón Ibérico,1,AZ002PV
L9220216,Rollo de txangurro,2,AZ002PV
L9220216,Lubina al horno,1,AZ002PV
S9210720,Ensalada de naranja,2,AA002AN
S9210720,Bacalao confitado,1,AA002AN
S9210720,Copa de vino,2,AA002AN
T0111115,Ensalada de mercado,1,AM002CM
T0111115,Arroz meloso,2,AM002CM
T0111115,Tarta queso,1,AM002CM
O7211018,Ensalada creativa,2,SB002EX
O7211018,Secreto ibérico,3,SB002EX
O7211018,Postre del chef,1,SB002EX
V5180825,Jamón Ibérico,1,PB001EX
V5180825,Tartar atún,1,PB001EX
V5180825,Helado queso,2,PB001EX
K5090324,Entrante de la casa,2,AE003CM
K5090324,Solomillo manchego,2,AE003CM
K5090324,Helado artesano,1,AE003CM
D0230217,Jamón Ibérico,1,JR001CB
D0230217,Tosta anchoa,2,JR001CB
D0230217,Rabo toro,1,JR001CB
T5280316,Entrante casa,2,VC003CL
T5280316,Merluza plancha,2,VC003CL
T5280316,Solomillo salsa,1,VC003CL
T5280316,Helado artesano,2,VC003CL
O8301121,Ensalada creativa,1,SB002EX
O8301121,Plato fusión,2,SB002EX
O8301121,Cerveza,3,SB002EX
G8141024,Entrante navarro,2,BR002NA
G8141024,Txuletón,3,BR002NA
G8141024,Vino navarro,1,BR002NA
Q8260923,Ensalada catalana,1,CD002CT
Q8260923,Ravioli setas,2,CD002CT
Q8260923,Crema catalana,2,CD002CT
S3040325,Whopper,3,BK001CT
S3040325,Onion rings,2,BK001CT
S3040325,Nuggets,1,BK001CT
S3040325,Refresco,3,BK001CT
Y6300317,Ensalada templada,1,LR003VC
Y6300317,Magret pato,2,LR003VC
Y6300317,Cheesecake,1,LR003VC
A7310324,Jamón Ibérico,2,AB001CT
A7310324,Tosta de foie,1,AB001CT
A7310324,Arroz caldoso,2,AB001CT
Y6091023,Ensalada verde,1,ES003AN
Y6091023,Pulpo a la gallega,2,ES003AN
Y6091023,Tarta de limón,1,ES003AN
Z5091022,Tagliatella carbonara,2,TT001VC
Z5091022,Lasaña,1,TT001VC
Z5091022,Tiramisú,2,TT001VC
I3180722,Jamón Ibérico,1,AS001NA
I3180722,Alcachofa confitada,2,AS001NA
I3180722,Merluza a la navarra,2,AS001NA
X2261217,Jamón Ibérico,1,EO001AR
X2261217,Taco aragonés,1,EO001AR
X2261217,Copa vino,3,EO001AR
B8140224,Jamón Ibérico,2,MB003CN
B8140224,Tartar atún,1,MB003CN
B8140224,Sorbete mar,2,MB003CN
I2281119,Entrante fusión,2,TR003EX
I2281119,Plato principal,1,TR003EX
I2281119,Postre casero,1,TR003EX
C0201222,Ensalada de mar,2,GL002AS
C0201222,Asado tradicional,3,GL002AS
C0201222,Postre casero,1,GL002AS
M6300523,Ensalada templada,1,LR003VC
M6300523,Merluza al horno,2,LR003VC
M6300523,Magret pato,1,LR003VC
M6300523,Cheesecake,2,LR003VC
K0200621,Jamón Ibérico,2,AA003PV
K0200621,Txangurro gratinado,1,AA003PV
K0200621,Merluza Arzak,2,AA003PV
K0200621,Bizcocho mantequilla,1,AA003PV
U1020320,Entrante casa,1,BL003CB
U1020320,Bacalao dorado,2,BL003CB
U1020320,Postre casero,1,BL003CB
Y2260717,Jamón Ibérico,1,RE003MD
Y2260717,Sopa de mariscos,2,RE003MD
Y2260717,Solomillo ternera,2,RE003MD
K9130318,Entrante casa,2,BL003CB
K9130318,Bacalao dorado,1,BL003CB
K9130318,Refresco,3,BL003CB
J0210317,Jamón Ibérico,1,PB001EX
J0210317,Tartar atún,2,PB001EX
J0210317,Helado queso,1,PB001EX
J2230524,Ensalada riojana,2,LR001RI
J2230524,Bacalao al ajoarriero,2,LR001RI
J2230524,Copa rioja,2,LR001RI
S1280119,Taco creativo,1,DR001MD
S1280119,Ceviche corvina,2,DR001MD
S1280119,Degustación principal,1,DR001MD
S1280119,Coulant chocolate,2,DR001MD
M5300615,Entrante casa,2,VC003CL
M5300615,Merluza plancha,1,VC003CL
M5300615,Cerveza local,3,VC003CL
S5280323,Ensalada rústica,1,LV002CL
S5280323,Tosta de anchoa,2,LV002CL
S5280323,Copa vino,2,LV002CL
P2050222,Ensalada catalana,2,CD002CT
P2050222,Jarrete confitado,3,CD002CT
P2050222,Crema catalana,1,CD002CT
Z0190216,Tosta creativa,2,NM002RI
Z0190216,Chuleta a la brasa,1,NM002RI
Z0190216,Postre lacteo,2,NM002RI
K4220423,Ensalada catalana,1,CD002CT
K4220423,Ravioli setas,2,CD002CT
K4220423,Vino por copa,2,CD002CT
P1231116,Jamón Ibérico,1,VA001IB
P1231116,Arroz marinero,2,VA001IB
P1231116,Vino mallorca,1,VA001IB
P6050918,Jamón Ibérico,2,MB003CN
P6050918,Chuleta vaca,2,MB003CN
P6050918,Vino de la casa,1,MB003CN
K5101123,Ensalada canaria,1,HP002CN
K5101123,Bacalao al mojo,2,HP002CN
K5101123,Dulce de leche,2,HP002CN
S1260425,Jamón Ibérico,1,RE003MD
S1260425,Sopa de mariscos,2,RE003MD
S1260425,Helado vainilla,1,RE003MD
L0061124,Ensalada catalana,2,CD002CT
