ID_FACTURA,N_PLATO,NUM_PEDIDOS
C2240421,Jamón Ibérico,2
C2240421,Pulpo braseado,1
C2240421,Tarta queso,2
P0090515,Entrante manchego,1
P0090515,Carne de la mancha,2
P0090515,Postre tradicional,1
J1011121,Entrante navarro,3
J1011121,Txuletón,2
J1011121,Tarta casera,1
T1110316,Ensalada de naranja,1
T1110316,Solomillo ibérico,2
T1110316,Copa de vino,2
N6190521,Jamón Ibérico,1
N6190521,Taco aragonés,2
N6190521,Trucha a la navarra,2
N6190521,Bizcocho,1
T3181222,Jamón Ibérico,1
T3181222,Tartar atún,2
T3181222,Arroz trufa,1
S9230817,Jamón Ibérico,2
S9230817,Croqueta jamón,3
S9230817,Merluza Cantábrico,2
P7251219,Ensalada templada,2
P7251219,Merluza al horno,1
L4250324,Jamón Ibérico,1
L4250324,Arroz marinero,2
L4250324,Lubina playa,2
L4250324,Postre ibicenco,1
B1200916,Jamón Ibérico,1
B1200916,Arroz de marisco,3
B1200916,Helado marino,2
D2050415,Ensalada de mar,2
D2050415,Bocadillo gourmet,1
D2050415,Asado tradicional,3
C4020315,Entrante casa,1
C4020315,Bacalao dorado,2
M9100622,Ensalada rústica,1
M9100622,Tosta de anchoa,2
M9100622,Jarrete horno,2
M9100622,Tarta manzana,1
M9090917,Entrante contemporáneo,2
M9090917,Ravioli mar,1
M9090917,Solomillo,2
Z4270815,Ensalada de autor,1
Z4270815,Arroz negro,2
Z4270815,Mousse chocolate,2
R6140121,Ensalada rústica,2
R6140121,Jarrete horno,1
R6140121,Copa vino,3
L9220216,Jamón Ibérico,1
L9220216,Rollo de txangurro,2
L9220216,Lubina al horno,1
S9210720,Ensalada de naranja,2
S9210720,Bacalao confitado,1
S9210720,Copa de vino,2
T0111115,Ensalada de mercado,1
T0111115,Arroz meloso,2
T0111115,Tarta queso,1
O7211018,Ensalada creativa,2
O7211018,Secreto ibérico,3
O7211018,Postre del chef,1
V5180825,Jamón Ibérico,1
V5180825,Tartar atún,1
V5180825,Helado queso,2
K5090324,Entrante de la casa,2
K5090324,Solomillo manchego,2
K5090324,Helado artesano,1
D0230217,Jamón Ibérico,1
D0230217,Tosta anchoa,2
D0230217,Rabo toro,1
T5280316,Entrante casa,2
T5280316,Merluza plancha,2
T5280316,Solomillo salsa,1
T5280316,Helado artesano,2
O8301121,Ensalada creativa,1
O8301121,Plato fusión,2
O8301121,Cerveza,3
G8141024,Entrante navarro,2
G8141024,Txuletón,3
G8141024,Vino navarro,1
Q8260923,Ensalada catalana,1
Q8260923,Ravioli setas,2
Q8260923,Crema catalana,2
S3040325,Whopper,3
S3040325,Onion rings,2
S3040325,Nuggets,1
S3040325,Refresco,3
Y6300317,Ensalada templada,1
Y6300317,Magret pato,2
Y6300317,Cheesecake,1
A7310324,Jamón Ibérico,2
A7310324,Tosta de foie,1
A7310324,Arroz caldoso,2
Y6091023,Ensalada verde,1
Y6091023,Pulpo a la gallega,2
Y6091023,Tarta de limón,1
Z5091022,Tagliatella carbonara,2
Z5091022,Lasaña,1
Z5091022,Tiramisú,2
I3180722,Jamón Ibérico,1
I3180722,Alcachofa confitada,2
I3180722,Merluza a la navarra,2
X2261217,Jamón Ibérico,1
X2261217,Taco aragonés,1
X2261217,Copa vino,3
B8140224,Jamón Ibérico,2
B8140224,Tartar atún,1
B8140224,Sorbete mar,2
I2281119,Entrante fusión,2
I2281119,Plato principal,1
I2281119,Postre casero,1
C0201222,Ensalada de mar,2
C0201222,Asado tradicional,3
C0201222,Postre casero,1
